dayNumber;hour;trx;;;;;
7;0,00;12,62849658;;;;;
7;1,00;5,460971495;;;;;
7;2,00;10,23932155;;;;;
7;3,00;8,191457242;;;;;
7;4,00;10,01178107;;;;;
7;5,00;18,65831927;;;;;
7;6,00;25,02945268;;;;;
7;7,00;40,04712429;;;;;
7;8,00;41,29859693;;;;;
7;9,00;69,28607584;;;;;
7;10,00;84,64505817;;;;;
7;11,00;95,90831187;;;;;
7;12,00;92,83651541;;;;;
7;13,00;87,71685463;;;;;
7;14,00;79,18408667;;;;;
7;15,00;79,86670811;;;;;
7;16,00;75,08835805;;;;;
7;17,00;88,74078679;;;;;
7;18,00;101,0279726;;;;;
7;19,00;98,63879762;;;;;
7;20,00;96,59093331;;;;;
7;21,00;31,40058609;;;;;
7;22,00;18,77208951;;;;;
7;23,00;9,898010834;;;;;
1;0,00;6,035889201;;;;;
1;1,00;3,017944601;;;;;
1;2,00;2,682617423;;;;;
1;3,00;3,57682323;;;;;
1;4,00;15,089723;;;;;
1;5,00;45,60449619;;;;;
1;6,00;85,17310317;;;;;
1;7,00;98,92151746;;;;;
1;8,00;82,49048575;;;;;
1;9,00;68,74207146;;;;;
1;10,00;71,76001606;;;;;
1;11,00;70,41870735;;;;;
1;12,00;73,10132477;;;;;
1;13,00;73,43665195;;;;;
1;14,00;58,68225612;;;;;
1;15,00;82,49048575;;;;;
1;16,00;78,80188679;;;;;
1;17,00;116,3585307;;;;;
1;18,00;115,3525492;;;;;
1;19,00;112,3346046;;;;;
1;20,00;95,23291851;;;;;
1;21,00;16,09570454;;;;;
1;22,00;9,38916098;;;;;
1;23,00;7,377197912;;;;;
2;0,00;4,155530048;;;;;
2;1,00;2,308627805;;;;;
2;2,00;1,385176683;;;;;
2;3,00;4,155530048;;;;;
2;4,00;9,69623678;;;;;
2;5,00;49,52006641;;;;;
2;6,00;83,11060097;;;;;
2;7,00;95,57719111;;;;;
2;8,00;87,95871936;;;;;
2;9,00;74,79954087;;;;;
2;10,00;76,87730589;;;;;
2;11,00;72,37548168;;;;;
2;12,00;62,33295073;;;;;
2;13,00;69,95142248;;;;;
2;14,00;66,83477494;;;;;
2;15,00;77,22360007;;;;;
2;16,00;90,72907272;;;;;
2;17,00;106,6586046;;;;;
2;18,00;113,9307822;;;;;
2;19,00;115,662253;;;;;
2;20,00;96,9623678;;;;;
2;21,00;22,85541527;;;;;
2;22,00;13,50547266;;;;;
2;23,00;9,349942609;;;;;
3;0,00;5,045034014;;;;;
3;1,00;0;;;;;
3;2,00;2,063877551;;;;;
3;3,00;1,375918367;;;;;
3;4,00;8,71414966;;;;;
3;5,00;46,78122449;;;;;
3;6,00;90,35197279;;;;;
3;7,00;101,3593197;;;;;
3;8,00;89,89333333;;;;;
3;9,00;77,96870748;;;;;
3;10,00;70,17183673;;;;;
3;11,00;64,66816327;;;;;
3;12,00;63,2922449;;;;;
3;13,00;67,87863946;;;;;
3;14,00;65,12680272;;;;;
3;15,00;83,93102041;;;;;
3;16,00;92,64517007;;;;;
3;17,00;108,2389116;;;;;
3;18,00;112,3666667;;;;;
3;19,00;110,0734694;;;;;
3;20,00;100,4420408;;;;;
3;21,00;16,96965986;;;;;
3;22,00;17,42829932;;;;;
3;23,00;7,796870748;;;;;
4;0,00;4,216194405;;;;;
4;1,00;1,405398135;;;;;
4;2,00;1,405398135;;;;;
4;3,00;2,342330225;;;;;
4;4,00;8,900854854;;;;;
4;5,00;50,12586681;;;;;
4;6,00;85,72928623;;;;;
4;7,00;93,69320899;;;;;
4;8,00;61,36905189;;;;;
4;9,00;66,75641141;;;;;
4;10,00;68,16180954;;;;;
4;11,00;59,96365375;;;;;
4;12,00;66,05371234;;;;;
4;13,00;62,30598398;;;;;
4;14,00;67,92757652;;;;;
4;15,00;74,48610115;;;;;
4;16,00;90,88241272;;;;;
4;17,00;101,1886657;;;;;
4;18,00;96,50400526;;;;;
4;19,00;107,7471903;;;;;
4;20,00;90,88241272;;;;;
4;21,00;24,82870038;;;;;
4;22,00;12,64858321;;;;;
4;23,00;6,558524629;;;;;
5;0,00;2,739806779;;;;;
5;1,00;9,589323727;;;;;
