;;;;;1382,130952;;;37;44;44;37;34;35;33;38;42;32;;;0,854545455
CeBe PP;Nombre;Tipologia;Nombre del día;Hora;Trx;TRX/hora/prom;;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;trxdelta;;No Promotores por hora
1825PP023;La Casona;Motera;domingo;0;12,62849658;33,125;;X;;;;;;;;;;20,37150342;;1
1825PP023;La Casona;Motera;domingo;0,041666667;5,460971495;33,125;;X;;;;;;;;;;27,53902851;;1
1825PP023;La Casona;Motera;domingo;0,083333333;10,23932155;33,125;;X;;;;;;;;;;22,76067845;;1
1825PP023;La Casona;Motera;domingo;0,125;8,191457242;33,125;;X;;;;;;;;;;24,80854276;;1
1825PP023;La Casona;Motera;domingo;0,166666667;10,01178107;33,125;;X;;;;;;;;;;22,98821893;;1
1825PP023;La Casona;Motera;domingo;0,208333333;18,65831927;33,125;;X;;;;;;;;;;14,34168073;;1
1825PP023;La Casona;Motera;domingo;0,25;25,02945268;33,125;;X;;;;;;;;;;7,970547317;;1
1825PP023;La Casona;Motera;domingo;0,291666667;40,04712429;33,125;;X;X;;;;;;;;;25,95287571;;2
1825PP023;La Casona;Motera;domingo;0,333333333;41,29859693;33,125;;X;X;;;;;;;;;24,70140307;;2
1825PP023;La Casona;Motera;domingo;0,375;69,28607584;33,125;;;X;X;;;;;;;;-3,286075837;;2
1825PP023;La Casona;Motera;domingo;0,416666667;84,64505817;33,125;;;X;X;X;;;;;;;14,35494183;;3
1825PP023;La Casona;Motera;domingo;0,458333333;95,90831187;33,125;;;X;X;X;;;;;;;3,091688127;;3
1825PP023;La Casona;Motera;domingo;0,5;92,83651541;33,125;;;X;X;X;;;;;;;6,163484593;;3
1825PP023;La Casona;Motera;domingo;0,541666667;87,71685463;33,125;;;X;X;X;;;;;;;11,28314537;;3
1825PP023;La Casona;Motera;domingo;0,583333333;79,18408667;33,125;;;X;X;X;;;;;;;19,81591333;;3
1825PP023;La Casona;Motera;domingo;0,625;79,86670811;33,125;;;X;X;X;;;;;;;19,13329189;;3
1825PP023;La Casona;Motera;domingo;0,666666667;75,08835805;33,125;;;;X;X;X;;;;;;23,91164195;;3
1825PP023;La Casona;Motera;domingo;0,708333333;88,74078679;33,125;;;;;X;X;X;;;;;10,25921321;;3
1825PP023;La Casona;Motera;domingo;0,75;101,0279726;33,125;;;;;X;X;X;;;;;-2,027972649;;3
1825PP023;La Casona;Motera;domingo;0,791666667;98,63879762;33,125;;;;;;X;X;X;;;;0,36120238;;3
1825PP023;La Casona;Motera;domingo;0,833333333;96,59093331;33,125;;;;;;X;X;X;;;;2,40906669;;3
