DayNumber;Hour;Trx;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;TrxDelta;Comentario;No Promotores por hora
1;0;6,04;X;;;;;;;;;;27,09;Ocio bajo;1
1;1;3,02;X;;;;;;;;;;30,11;Ocio alto;1
1;2;2,68;X;;;;;;;;;;30,44;Ocio alto;1
1;3;3,58;X;;;;;;;;;;29,55;Ocio bajo;1
1;4;15,09;X;;;;;;;;;;18,04;Ocio bajo;1
1;5;45,6;X;X;;;;;;;;;20,65;Ocio bajo;2
1;6;85,17;X;X;X;;;;;;;;14,2;Ocio bajo;3
1;7;98,92;X;X;X;;;;;;;;0,45;Ocio bajo;3
1;8;82,49;X;X;X;;;;;;;;16,88;Ocio bajo;3
1;9;68,74;;X;X;;;;;;;;-2,49;Normalizado;2
1;10;71,76;;X;X;X;;;;;;;27,61;Ocio bajo;3
1;11;70,42;;X;X;X;;;;;;;28,96;Ocio bajo;3
1;12;73,1;;X;X;X;;;;;;;26,27;Ocio bajo;3
1;13;73,44;;X;X;X;;;;;;;25,94;Ocio bajo;3
1;14;58,68;;;X;X;;;;;;;7,57;Ocio bajo;2
1;15;82,49;;;;X;;X;X;;;;16,88;Ocio bajo;3
1;16;78,8;;;;X;;X;X;;;;20,57;Ocio bajo;3
1;17;116,36;;;;X;;X;X;X;;;16,14;Ocio bajo;4
1;18;115,35;;;;X;;X;X;X;;;17,15;Ocio bajo;4
1;19;112,33;;;;;;X;X;X;X;;20,17;Ocio bajo;4
1;20;95,23;;;;;;X;X;X;X;;37,27;Ocio alto;4
1;21;16,1;;;;;;X;;;X;;50,15;Ocio alto;2
1;22;9,39;;;;;;;;;X;;23,74;Ocio bajo;1
1;23;7,38;;;;;;;;;X;;25,75;Ocio bajo;1
2;0;4,16;;;;;X;;;;;;28,97;Ocio bajo;1
2;1;2,31;;;;;X;;;;;;30,82;Ocio alto;1
2;2;1,39;;;;;X;;;;;;31,74;Ocio alto;1
2;3;4,16;;;;;X;;;;;;28,97;Ocio bajo;1
2;4;9,7;;;;;X;;;;;;23,43;Ocio bajo;1
2;5;49,52;;;;;X;;;;;X;16,73;Ocio bajo;2
2;6;83,11;;;;;X;;;X;;X;16,26;Ocio bajo;3
2;7;95,58;;;;;X;;;X;;X;3,8;Ocio bajo;3
2;8;87,96;;X;;;X;;;X;;X;44,54;Ocio alto;4
2;9;74,8;;X;;;;;;X;;X;24,58;Ocio bajo;3
2;10;76,88;;X;;;;;;X;;X;22,5;Ocio bajo;3
2;11;72,38;;X;;;;;;X;;X;27;Ocio bajo;3
2;12;62,33;;;;;;;;X;;X;3,92;Ocio bajo;2
2;13;69,95;;;;;;;;X;X;X;29,42;Ocio bajo;3
2;14;66,83;;;;;;;;X;X;;-0,58;Normalizado;2
2;15;77,22;X;;;;;;X;;X;;22,15;Ocio bajo;3
2;16;90,73;X;;X;;;;X;;X;;41,77;Ocio alto;4
2;17;106,66;X;;X;;;;X;;X;;25,84;Ocio bajo;4
2;18;113,93;X;;X;;;;X;;X;;18,57;Ocio bajo;4
2;19;115,66;X;;X;;;;X;;X;;16,84;Ocio bajo;4
