dayNumber;hour;trx
7;0;24,70131215
7;1;14,56077348
7;2;11,96063536
7;3;14,30075967
7;4;8,840469613
7;5;23,14122928
7;6;32,76174033
7;7;43,16229282
7;8;60,58321823
7;9;69,94371547
7;10;73,06388122
7;11;82,94440608
7;12;88,66470994
7;13;83,20441989
7;14;82,68439227
7;15;83,20441989
7;16;80,08425414
7;17;81,3843232
7;18;89,44475138
7;19;86,84461326
7;20;79,30421271
7;21;54,34288674
7;22;32,24171271
7;23;16,38087017
1;0;12,02483935
1;1;8,016559565
1;2;6,413247652
1;3;5,077154391
1;4;12,292058
1;5;48,09935739
1;6;79,898377
1;7;105,8185863
1;8;93,79374691
1;9;90,58712308
1;10;81,23447026
1;11;77,76062778
1;12;82,83778217
1;13;83,90665678
1;14;81,50168891
1;15;80,4328143
1;16;102,6119624
1;17;128,5321717
1;18;115,7056764
1;19;103,680837
1;20;92,99209095
1;21;75,08844126
1;22;33,40233152
1;23;20,04139891
2;0;10,43856874
2;1;8,029668263
2;2;2,944211696
2;3;8,029668263
2;4;15,79168092
2;5;39,34537449
2;6;81,36730506
2;7;96,62367476
2;8;86,72041724
2;9;71,19639193
2;10;77,88778215
2;11;78,15543776
2;12;73,60529241
2;13;77,08481532
2;14;86,18510602
2;15;91,27056259
2;16;104,1180318
2;17;118,8390903
2;18;115,3595674
2;19;113,2183225
2;20;91,53821819
2;21;72,26701436
2;22;33,45695109
2;23;11,77684679
3;0;8,836975491
3;1;5,655664314
3;2;2,120874118
3;3;6,716101373
3;4;14,84611883
3;5;36,05486
3;6;75,64451021
3;7;103,5693528
3;8;79,53277942
3;9;73,87711511
3;10;68,22145079
3;11;74,23059413
3;12;73,52363609
3;13;85,18844374
3;14;83,77452766
3;15;87,66279687
3;16;107,811101
3;17;124,7780939
3;18;121,5967828
3;19;106,7506639
3;20;86,60235981
3;21;71,04928295
3;22;38,17573412
3;23;16,61351392
4;0;12,45544263
4;1;5,69391663
4;2;2,491088526
4;3;3,914567683
4;4;16,01414052
4;5;40,92502578
4;6;84,34114008
4;7;105,6933274
4;8;88,25570776
4;9;80,78244219
4;10;69,39460893
4;11;75,08852556
4;12;85,40874945
4;13;71,88569745
4;14;87,18809839
4;15;87,89983797
4;16;108,184416
4;17;122,4192075
4;18;120,2839888
4;19;114,2342024
4;20;97,86419208
4;21;76,15613492
4;22;36,6545883
4;23;17,43761968
5;0;12,79858363
5;1;6,399291814
5;2;6,399291814
5;3;6,043775602
5;4;15,64271332
5;5;38,39575089
5;6;67,54808026
5;7;108,0769284
5;8;90,65663403
5;9;80,7021801
5;10;76,08046935
5;11;80,7021801
5;12;86,03492328
5;13;90,30111782
5;14;86,39043949
5;15;98,4779907
5;16;126,5637714
5;17;125,1417066
5;18;134,7406443
5;19;118,7424148
5;20;104,8772825
5;21;70,39220996
5;22;48,35020482
5;23;27,37474832
6;0;18,53388206
6;1;12,23935608
6;2;11,88966019
6;3;6,64422187
6;4;14,3375314
6;5;34,96958879
6;6;66,4422187
6;7;73,08644057
6;8;73,78583234
6;9;89,17245141
6;10;100,0130239
6;11;103,1602869
6;12;105,957854
6;13;123,0929525
6;14;120,9947772
6;15;121,694169
6;16;117,8475142
6;17;113,3014677
6;18;102,1111993
6;19;104,5590705
6;20;92,3197144
6;21;68,54039402
6;22;49,30712019
6;23;39,16593944
