DayNumber;Hour;Trx;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;Promotor 11;Promotor 12;Promotor 13;Promotor 14;Promotor 15;Promotor 16;Promotor 17;TrxDelta;Comentario;No Promotores por hora
1;0;12,02;X;;;;;;;;;;;;;;;;;7,98;Ocio bajo;1
1;1;8,02;X;;;;;;;;;;;;;;;;;11,98;Ocio bajo;1
1;2;6,41;X;;;;;;;;;;;;;;;;;13,59;Ocio bajo;1
1;3;5,08;X;;;;;;;;;;;;;;;;;14,92;Ocio bajo;1
1;4;12,29;X;;;;;;;;;;;;;;;;;7,71;Ocio bajo;1
1;5;48,1;X;X;;X;;;;;;;;;;;;;;11,9;Ocio bajo;3
1;6;79,9;X;X;;X;X;;;;;;;;;;;;;0,1;Ocio bajo;4
1;7;105,82;X;X;;X;X;X;;;;;;;;X;;;;14,18;Ocio bajo;6
1;8;93,79;X;X;;X;X;X;;;;;;;;X;;;;26,21;Ocio bajo;6
1;9;90,59;;X;;X;X;X;;;;;;;;X;;;;9,41;Ocio bajo;5
1;10;81,23;;X;;X;X;X;;;;;;;;X;;;;18,77;Ocio bajo;5
1;11;77,76;;X;;X;X;X;;;;;;;;;;;;2,24;Ocio bajo;4
1;12;82,84;;X;;X;X;X;;;;;;;;;;;;-2,84;Normalizado;4
1;13;83,91;;X;;X;X;X;X;;;;;;;;;;;16,09;Ocio bajo;5
1;14;81,5;;;;;X;X;X;X;;;;;;;;X;;18,5;Ocio bajo;5
1;15;80,43;;;;;;X;X;X;X;;;;;;;X;;19,57;Ocio bajo;5
1;16;102,61;;;;;;;X;X;X;;X;X;X;;;X;;37,39;Ocio alto;7
1;17;128,53;;;;;;;X;X;X;;X;X;X;;;X;;11,47;Ocio bajo;7
1;18;115,71;;;;;;;X;X;X;;X;X;X;;;;;4,29;Ocio bajo;6
1;19;103,68;;;;;;;X;X;X;;X;X;X;;;;;16,32;Ocio bajo;6
1;20;92,99;;;;;;;X;X;X;;X;X;;;X;;;27,01;Ocio bajo;6
1;21;75,09;;;;;;;X;X;X;;X;;;;X;;;24,91;Ocio bajo;5
1;22;33,4;;;;;;;;;;;;;;;X;;;-13,4;Insuficiente;1
