dayNumber;hour;trx
7;0;6,75
7;1;6,75
7;2;7,5
7;3;4,25
7;4;13,25
7;5;25,5
7;6;38,25
7;7;51,5
7;8;49,25
7;9;52,75
7;10;53,25
7;11;59,25
7;12;70,75
7;13;62,25
7;14;70,25
7;15;75,5
7;16;78,5
7;17;69
7;18;66,75
7;19;53,75
7;20;44
7;21;19,75
7;22;10,5
7;23;7,25
1;0;5,666666667
1;1;4
1;2;3
1;3;8,666666667
1;4;32
1;5;71,66666667
1;6;77,66666667
1;7;78
1;8;68
1;9;62,33333333
1;10;68,66666667
1;11;56,66666667
1;12;62,66666667
1;13;52,33333333
1;14;57,66666667
1;15;72,66666667
1;16;78
1;17;68,66666667
1;18;65,66666667
1;19;62,33333333
1;20;41,66666667
1;21;25,33333333
1;22;15
1;23;10,66666667
2;0;6
2;1;6,5
2;2;4,25
2;3;11,5
2;4;27,25
2;5;51,25
2;6;84
2;7;72,25
2;8;67
2;9;68
2;10;45,5
2;11;44
2;12;61,25
2;13;56,5
2;14;52,75
2;15;66
2;16;71,75
2;17;65,75
2;18;59,5
2;19;56
2;20;39,25
2;21;27,75
2;22;16,5
2;23;10,5
3;0;7,25
3;1;5,25
3;2;7,5
3;3;12,25
3;4;19,5
3;5;50,5
3;6;71,75
3;7;69,5
3;8;64,5
3;9;69,25
3;10;58,5
3;11;60
3;12;52,75
3;13;55,75
3;14;62,75
3;15;67,25
3;16;67,75
3;17;72,25
3;18;72,5
3;19;61,5
3;20;39,25
3;21;21,75
3;22;15,5
3;23;10
4;0;5
4;1;7,25
4;2;5
4;3;9,25
4;4;25
4;5;48,25
4;6;71,25
4;7;77,75
4;8;71,5
4;9;58,5
4;10;62,5
4;11;64,25
4;12;49,75
4;13;57,25
4;14;42,75
4;15;56,5
4;16;68,75
4;17;61
4;18;64,5
4;19;57,5
4;20;38,5
4;21;25,25
4;22;21,25
4;23;12,75
5;0;8,8
5;1;7
5;2;5,4
5;3;10,2
5;4;25,2
5;5;51
5;6;67,2
5;7;73,2
5;8;63,8
5;9;59
5;10;59
5;11;61,8
5;12;58,8
5;13;62,6
5;14;58,4
5;15;67,8
5;16;77,8
5;17;72,4
5;18;67,2
5;19;58,6
5;20;41,2
5;21;21,8
5;22;14,2
5;23;10
6;0;7
6;1;6,6
6;2;7,8
6;3;11,4
6;4;28,6
6;5;51,6
6;6;67,6
6;7;67,8
6;8;59
6;9;65
6;10;67,4
6;11;64
6;12;62
6;13;59,6
6;14;65,8
6;15;73,2
6;16;77,2
6;17;73,8
6;18;73,2
6;19;68,4
6;20;64,8
6;21;35,4
6;22;17,4
6;23;8,8
