dayNumber;hour;trx
7;0;23,37819465
7;1;22,74635155
7;2;21,48266535
7;3;18,95529296
7;4;18,63937141
7;5;38,54242902
7;6;58,76140817
7;7;62,55246677
7;8;77,71670113
7;9;95,09238634
7;10;113,7317578
7;11;124,789012
7;12;135,2144231
7;13;110,2566207
7;14;120,6820318
7;15;109,3088561
7;16;110,2566207
7;17;117,8387379
7;18;120,6820318
7;19;123,8412473
7;20;107,4133268
7;21;88,45803381
7;22;64,44799606
7;23;40,12203676
1;0;14,37256939
1;1;10,18056999
1;2;6,587427638
1;3;8,383998813
1;4;10,77942704
1;5;57,49027757
1;6;113,4834125
1;7;139,234266
1;8;124,5622681
1;9;115,8788407
1;10;116,1782693
1;11;101,5062713
1;12;111,6868413
1;13;104,2011281
1;14;122,7656969
1;15;116,7771263
1;16;109,2914131
1;17;132,3474098
1;18;119,4719831
1;19;122,1668398
1;20;109,2914131
1;21;73,35998961
1;22;55,09484934
1;23;22,15771115
2;0;12,52693727
2;1;7,027306273
2;2;7,943911439
2;3;10,08265683
2;4;18,02656827
2;5;58,05166052
2;6;118,5476015
2;7;139,9350554
2;8;125,8804428
2;9;120,0752768
2;10;115,1867159
2;11;93,79926199
2;12;109,6870849
2;13;95,02140221
2;14;113,3535055
2;15;119,1586716
2;16;126,4915129
2;17;134,1298893
2;18;133,5188192
2;19;130,7690037
2;20;114,2701107
2;21;86,16088561
2;22;53,77416974
2;23;26,58154982
3;0;15,6570226
3;1;10,30067276
3;2;6,180403659
3;3;7,00445748
3;4;16,48107642
3;5;63,86417114
3;6;111,2472659
3;7;128,5523961
3;8;130,2005037
3;9;125,6682077
3;10;111,2472659
3;11;94,35416252
3;12;99,71051236
3;13;93,11808179
3;14;127,3163154
3;15;110,423212
3;16;127,7283423
3;17;140,5011765
3;18;137,6169881
3;19;127,3163154
3;20;122,3719924
3;21;72,51673626
3;22;64,68822496
3;23;28,01782992
4;0;9,579373278
4;1;17,0762741
4;2;4,164944904
4;3;12,49483471
4;4;25,8226584
4;5;51,22882231
4;6;116,6184573
4;7;136,1936983
4;8;140,7751377
4;9;122,8658747
4;10;119,9504132
4;11;94,9607438
4;12;108,2885675
4;13;110,3710399
4;14;107,039084
4;15;100,3751722
4;16;130,77927
4;17;119,9504132
4;18;108,705062
4;19;123,2823691
4;20;97,45971074
4;21;63,72365702
4;22;63,72365702
4;23;30,4040978
5;0;11,82520208
5;1;8,155311778
5;2;6,524249423
5;3;11,0096709
5;4;19,57274827
5;5;56,27165127
5;6;118,2520208
5;7;145,1645497
5;8;118,2520208
5;9;120,6986143
5;10;109,6889434
5;11;107,2423499
5;12;112,5433025
5;13;116,6209584
5;14;124,3685046
5;15;123,1452079
5;16;124,7762702
5;17;137,4170035
5;18;126,8150982
5;19;124,3685046
5;20;110,9122402
5;21;82,36864896
5;22;68,91238453
5;23;33,84454388
6;0;11,79952844
6;1;11,79952844
6;2;10,57888756
6;3;14,64769047
6;4;20,34401454
6;5;41,90866996
6;6;102,5338333
6;7;133,8636157
6;8;147,6975456
6;9;125,7260099
6;10;114,3333617
6;11;126,1328902
6;12;137,5255383
6;13;115,1471223
6;14;152,5801091
6;15;145,6631441
6;16;139,9668201
6;17;153,3938697
6;18;139,9668201
6;19;145,6631441
6;20;142,4081018
6;21;106,6026362
6;22;85,85174138
6;23;61,03204363
