DayNumber;Hour;Trx;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;Promotor 11;Promotor 12;Promotor 13;Promotor 14;TrxDelta;Comentario;No Promotores por hora
1;0;14,37;X;;;;;;;;;;;;;;13,63;Ocio bajo;1
1;1;10,18;X;;;;;;;;;;;;;;17,82;Ocio bajo;1
1;2;6,59;X;;;;;;;;;;;;;;21,41;Ocio bajo;1
1;3;8,38;X;;;;;;;;;;;;;;19,62;Ocio bajo;1
1;4;10,78;X;;;;;;;;;;;;;;17,22;Ocio bajo;1
1;5;57,49;X;;X;;;;;;;;;;;;-1,49;Normalizado;2
1;6;113,48;X;;X;X;X;;;;;;;;;;-1,48;Normalizado;4
1;7;139,23;X;;X;X;X;X;;;;;;;X;;28,77;Ocio bajo;6
1;8;124,56;X;;X;X;X;X;;;;;;;X;;43,44;Ocio alto;6
1;9;115,88;;;X;X;X;X;;;;;;;X;;24,12;Ocio bajo;5
1;10;116,18;;;X;X;X;X;;;;;;;X;;23,82;Ocio bajo;5
1;11;101,51;;;X;X;X;X;;;;;;;;;10,49;Ocio bajo;4
1;12;111,69;;;X;X;X;X;;;;;;;;;0,31;Ocio bajo;4
1;13;104,2;;;X;X;X;X;;;;;;;;;7,8;Ocio bajo;4
1;14;122,77;;;;X;X;X;X;X;;;;;;;17,23;Ocio bajo;5
1;15;116,78;;;;;;X;X;X;;X;X;;;;23,22;Ocio bajo;5
1;16;109,29;;;;;;;X;X;;X;X;X;;;30,71;Ocio alto;5
1;17;132,35;;;;;;;X;X;;X;X;X;;;7,65;Ocio bajo;5
1;18;119,47;;;;;;;X;X;;X;X;X;;;20,53;Ocio bajo;5
1;19;122,17;;;;;;;X;X;;X;X;X;;;17,83;Ocio bajo;5
1;20;109,29;;;;;;;X;X;;X;X;;;X;30,71;Ocio alto;5
1;21;73,36;;;;;;;X;X;;X;;;;X;38,64;Ocio alto;4
1;22;55,09;;;;;;;;;;;;;;X;-27,09;Insuficiente;1
1;23;22,16;;;;;;;;;;;;;;X;5,84;Ocio bajo;1
2;0;12,53;;X;;;;;;;;;;;;;15,47;Ocio bajo;1
2;1;7,03;;X;;;;;;;;;;;;;20,97;Ocio bajo;1
2;2;7,94;;X;;;;;;;;;;;;;20,06;Ocio bajo;1
2;3;10,08;;X;;;;;;;;;;;;;17,92;Ocio bajo;1
2;4;18,03;;X;;;;;;;;;;;;;9,97;Ocio bajo;1
2;5;58,05;;X;;;;;;;X;;;;;;-2,05;Normalizado;2
2;6;118,55;;X;;;X;;;;X;;;X;X;;21,45;Ocio bajo;5
2;7;139,94;;X;;;X;;;;X;;;X;X;;0,06;Ocio bajo;5
2;8;125,88;;X;;;X;;;;X;;;X;X;X;42,12;Ocio alto;6
2;9;120,08;;;;;X;;;;X;;;X;X;X;19,92;Ocio bajo;5
2;10;115,19;;;;;X;;;;X;;;X;X;X;24,81;Ocio bajo;5
2;11;93,8;;;;;;;;;X;;;X;X;X;18,2;Ocio bajo;4
2;12;109,69;;;;;;;;;X;;;X;X;X;2,31;Ocio bajo;4
2;13;95,02;;;;;;;;;X;;;X;X;X;16,98;Ocio bajo;4
2;14;113,35;;;;;;;;;;X;;X;X;X;-1,35;Normalizado;4
2;15;119,16;X;;;;;;X;X;;X;;;;X;20,84;Ocio bajo;5
2;16;126,49;X;;;;;;X;X;;X;;;;X;13,51;Ocio bajo;5
2;17;134,13;X;;X;;;;X;X;;X;;;;;5,87;Ocio bajo;5
2;18;133,52;X;;X;;;;X;X;;X;;;;;6,48;Ocio bajo;5
2;19;130,77;X;;X;;;;X;X;;X;;;;;9,23;Ocio bajo;5
2;20;114,27;X;;X;;;X;X;X;;X;;;;;53,73;Ocio alto;6
2;21;86,16;;;;;;X;X;X;;X;;;;;25,84;Ocio bajo;4
2;22;53,77;;;;;;X;;;;;;;;;-25,77;Insuficiente;1
2;23;26,58;;;;;;X;;;;;;;;;1,42;Ocio bajo;1
3;0;15,66;;;;;;;;;;;X;;;;12,34;Ocio bajo;1
3;1;10,3;;;;;;;;;;;X;;;;17,7;Ocio bajo;1
3;2;6,18;;;;;;;;;;;X;;;;21,82;Ocio bajo;1
3;3;7;;;;;;;;;;;X;;;;21;Ocio bajo;1
3;4;16,48;;;;;;;;;;;X;;;;11,52;Ocio bajo;1
3;5;63,86;;X;;X;;;;;;;X;;;;20,14;Ocio bajo;3
3;6;111,25;;X;;X;;;;;X;;X;;;;0,75;Ocio bajo;4
3;7;128,55;;X;X;X;;;;;X;;X;;;;11,45;Ocio bajo;5
3;8;130,2;;X;X;X;;;;;X;;X;;;;9,8;Ocio bajo;5
3;9;125,67;;X;X;X;;;;;X;;;;;;-13,67;Insuficiente;4
3;10;111,25;;X;X;X;;;;;X;;;;;;0,75;Ocio bajo;4
3;11;94,35;;X;X;X;;;;;X;;;;;;17,65;Ocio bajo;4
3;12;99,71;;X;X;X;;;;;X;;;;;;12,29;Ocio bajo;4
3;13;93,12;;X;X;X;;;;;X;;;;;;18,88;Ocio bajo;4
3;14;127,32;;;X;;;X;;;X;;;;X;X;12,68;Ocio bajo;5
3;15;110,42;;;X;;;X;;;;;;;X;X;1,58;Ocio bajo;4
3;16;127,73;X;;;;;X;X;;;;;;X;X;12,27;Ocio bajo;5
3;17;140,5;X;;;;;X;X;;;;;;X;X;-0,5;Normalizado;5
3;18;137,62;X;;;;;X;X;;;;;;X;X;2,38;Ocio bajo;5
3;19;127,32;X;;;;;X;X;;;;;;X;X;12,68;Ocio bajo;5
3;20;122,37;X;;;;;X;X;X;;X;;;X;X;73,63;Ocio alto;7
3;21;72,52;;;;;;X;;X;;X;;;X;X;67,48;Ocio alto;5
3;22;64,69;;;;;;;;X;;X;;;;;-8,69;Insuficiente;2
3;23;28,02;;;;;;;;X;;X;;;;;27,98;Ocio bajo;2
4;0;9,58;;;;;;;;;;;;X;;;18,42;Ocio bajo;1
4;1;17,08;;;;;;;;;;;;X;;;10,92;Ocio bajo;1
4;2;4,16;;;;;;;;;;;;X;;;23,84;Ocio bajo;1
4;3;12,49;;;;;;;;;;;;X;;;15,51;Ocio bajo;1
4;4;25,82;;;;;;;;;;;;X;;;2,18;Ocio bajo;1
4;5;51,23;;;;;X;;;;;;;X;;;4,77;Ocio bajo;2
4;6;116,62;;X;;X;X;;;;;;X;X;;;23,38;Ocio bajo;5
4;7;136,19;;X;;X;X;;;;;;X;X;X;;31,81;Ocio alto;6
4;8;140,78;;X;;X;X;;;;;;X;X;X;;27,22;Ocio bajo;6
4;9;122,87;;X;;X;X;;;;;;X;;X;;17,13;Ocio bajo;5
4;10;119,95;;X;;X;X;;;;;;X;;X;;20,05;Ocio bajo;5
4;11;94,96;;X;;X;X;;;;;;X;;;;17,04;Ocio bajo;4
4;12;108,29;;X;;X;X;;;;;;X;;;;3,71;Ocio bajo;4
4;13;110,37;;X;;X;X;;;;;;X;;;;1,63;Ocio bajo;4
4;14;107,04;;X;;X;;;;;X;;X;;;;4,96;Ocio bajo;4
4;15;100,38;X;;;;;;X;X;X;;;;;;11,62;Ocio bajo;4
4;16;130,78;X;;;;;X;X;X;X;;;;;;9,22;Ocio bajo;5
4;17;119,95;X;;;;;X;X;X;X;;;;;;20,05;Ocio bajo;5
4;18;108,71;X;;;;;X;X;X;X;;;;;;31,29;Ocio alto;5
4;19;123,28;X;;;;;X;X;X;X;;;;;;16,72;Ocio bajo;5
4;20;97,46;X;;;;;;X;X;X;;;;;X;42,54;Ocio alto;5
4;21;63,72;X;;;;;;;X;X;;;;;X;48,28;Ocio alto;4
4;22;63,72;;;;;;;;;;;;;;X;-35,72;Insuficiente;1
4;23;30,4;;;;;;;;;;;;;;X;-2,4;Normalizado;1
5;0;11,83;;;;;;;;;;X;;;;;16,17;Ocio bajo;1
5;1;8,16;;;;;;;;;;X;;;;;19,84;Ocio bajo;1
5;2;6,52;;;;;;;;;;X;;;;;21,48;Ocio bajo;1
5;3;11,01;;;;;;;;;;X;;;;;16,99;Ocio bajo;1
5;4;19,57;;;;;;;;;;X;;;;;8,43;Ocio bajo;1
5;5;56,27;;;X;;;;;;;X;;;;;-0,27;Normalizado;2
5;6;118,25;;;X;X;X;;;;;X;X;X;;;49,75;Ocio alto;6
5;7;145,16;;;X;X;X;;;;;X;X;X;;;22,84;Ocio bajo;6
5;8;118,25;;;X;X;X;;;;;X;X;X;;;49,75;Ocio alto;6
5;9;120,7;;;X;X;X;;;;;;X;X;;;19,3;Ocio bajo;5
5;10;109,69;;;X;;X;;;;;;X;X;;;2,31;Ocio bajo;4
5;11;107,24;;;X;;X;;;;;;X;X;;;4,76;Ocio bajo;4
5;12;112,54;;;X;;X;;;;;;X;X;;;-0,54;Normalizado;4
5;13;116,62;;;X;;X;;;;;;X;X;;X;23,38;Ocio bajo;5
5;14;124,37;;;;;X;;X;;;;X;X;;X;15,63;Ocio bajo;5
5;15;123,15;X;;;;;;X;X;X;;;;;X;16,85;Ocio bajo;5
5;16;124,78;X;;;;;;X;X;X;;;;;X;15,22;Ocio bajo;5
5;17;137,42;X;;;;;;X;X;X;;;;;X;2,58;Ocio bajo;5
5;18;126,82;X;;;;;;X;X;X;;;;;X;13,18;Ocio bajo;5
5;19;124,37;X;;;;;;X;X;X;;;;;X;15,63;Ocio bajo;5
5;20;110,91;;X;;;;;X;X;X;;;;;X;29,09;Ocio bajo;5
5;21;82,37;;X;;;;;X;X;;;;;;X;29,63;Ocio bajo;4
5;22;68,91;;X;;;;;;;;;;;;;-40,91;Insuficiente;1
5;23;33,84;;X;;;;;;;;;;;;;-5,84;Insuficiente;1
6;0;11,8;;;;;;X;;;;;;;;;16,2;Ocio bajo;1
6;1;11,8;;;;;;X;;;;;;;;;16,2;Ocio bajo;1
6;2;10,58;;;;;;X;;;;;;;;;17,42;Ocio bajo;1
6;3;14,65;;;;;;X;;;;;;;;;13,35;Ocio bajo;1
6;4;20,34;;;;;;X;;;;;;;;;7,66;Ocio bajo;1
6;5;41,91;;;;;;X;;;;;;;X;;14,09;Ocio bajo;2
6;6;102,53;;;X;;;X;;;;X;;;X;;9,47;Ocio bajo;4
6;7;133,86;;;X;;;X;;X;;X;;;X;;6,14;Ocio bajo;5
6;8;147,7;;X;X;;;X;;X;;X;;;X;;20,3;Ocio bajo;6
6;9;125,73;;X;X;;;;;X;;X;;;X;;14,27;Ocio bajo;5
6;10;114,33;;X;X;;;;;X;;X;;;X;;25,67;Ocio bajo;5
6;11;126,13;;X;X;X;;;;;;X;;;X;;13,87;Ocio bajo;5
6;12;137,53;;X;X;X;;;;;;X;;;X;;2,47;Ocio bajo;5
6;13;115,15;;X;X;X;;;;;;X;;;X;;24,85;Ocio bajo;5
6;14;152,58;X;X;X;X;;;;;;X;;X;;;15,42;Ocio bajo;6
6;15;145,66;X;X;;X;X;;;;;;;X;;;-5,66;Insuficiente;5
6;16;139,97;X;X;;X;X;;;;;;;X;;;0,03;Ocio bajo;5
6;17;153,39;X;;;X;X;;;;X;;;X;;;-13,39;Insuficiente;5
6;18;139,97;X;;;X;X;;;;X;;;X;;;0,03;Ocio bajo;5
6;19;145,66;X;;;X;X;;;;X;;X;X;;;22,34;Ocio bajo;6
6;20;142,41;X;;;;X;;;;X;;X;X;;;-2,41;Normalizado;5
6;21;106,6;X;;;;X;;;;X;;X;X;;;33,4;Ocio alto;5
6;22;85,85;;;;;;;;;;;X;;;;-57,85;Insuficiente;1
6;23;61,03;;;;;;;;;;;X;;;;-33,03;Insuficiente;1
7;0;23,38;;;;;;X;;;;;;;;;4,62;Ocio bajo;1
7;1;22,75;;;;;;X;;;;;;;;;5,25;Ocio bajo;1
7;2;21,48;;;;;;X;;;;;;;;;6,52;Ocio bajo;1
7;3;18,96;;;;;;X;;;;;;;;;9,04;Ocio bajo;1
7;4;18,64;;;;;;X;;;;;;;;;9,36;Ocio bajo;1
7;5;38,54;;;;;;X;X;;;;;;;;17,46;Ocio bajo;2
7;6;58,76;;;;;;X;X;;;;;;;;-2,76;Normalizado;2
7;7;62,55;;;;;;X;X;;;;;;X;;21,45;Ocio bajo;3
7;8;77,72;;;;;;X;X;;;;;;X;;6,28;Ocio bajo;3
7;9;95,09;;;;;;;X;;X;;;;X;X;16,91;Ocio bajo;4
7;10;113,73;;;;;;;X;;X;;;;X;X;-1,73;Normalizado;4
7;11;124,79;;X;;;;;X;;X;;;;X;X;15,21;Ocio bajo;5
7;12;135,21;;X;;;;;X;;X;;;;X;X;4,79;Ocio bajo;5
7;13;110,26;;X;;;;;X;;X;;;;X;X;29,74;Ocio bajo;5
7;14;120,68;;X;;;;;;;X;X;;;X;X;19,32;Ocio bajo;5
7;15;109,31;;;;;;;;;X;X;;;X;X;2,69;Ocio bajo;4
7;16;110,26;;;;;X;;;;;X;X;;;X;1,74;Ocio bajo;4
7;17;117,84;;;;;X;;;;;X;X;X;;X;22,16;Ocio bajo;5
7;18;120,68;;;X;;X;;;;;X;X;X;;;19,32;Ocio bajo;5
7;19;123,84;;;X;;X;;;;;X;X;X;;;16,16;Ocio bajo;5
7;20;107,41;;;X;X;X;;;;;X;X;X;;;60,59;Ocio alto;6
7;21;88,46;;;X;X;;;;;;;X;X;;;23,54;Ocio bajo;4
7;22;64,45;;;;X;;;;;;;;;;;-36,45;Insuficiente;1
7;23;40,12;;;;X;;;;;;;;;;;-12,12;Insuficiente;1
